id,"description","category",day_of_week,day_of_month,month,year,amount,"currency_code","mode",account_id,"hashed_user_id",recurrent_bill
1022,"FULCRUM NETWORKS","taxi",3,14,12,2016,-18.42,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1023,"11 DEC 16 WWW.THELIGHTBULBSHOP.C INTERNET GBR GBR","electronics_and_software",4,15,12,2016,-90.6,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1024,"14 DEC 16 OLD KINGS HEAD LONDON EC2A GBR","alcohol_and_bars",5,16,12,2016,-12.4,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1025,"13 DEC 16 ZIPCAR WIMBLEDON GBR GBR","car_rental",5,16,12,2016,-15,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1026,"13 DEC 16 ZIPCAR WIMBLEDON GBR GBR","car_rental",5,16,12,2016,-118.8,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1027,"olswang client account SMS 34686.2","transfer",1,19,12,2016,-1320,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1028,"14 DEC 16 ZIPCAR WIMBLEDON GBR GBR","car_rental",1,19,12,2016,-39.9,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1029,"14 DEC 16 HOXTON GRILL LONDON EC2A GBR","cafes_and_restaurants",1,19,12,2016,-168.75,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1030,"16 DEC 16 WWW.DYSONAIRBLADE.CO INTERNET GBR GBR","internet",2,20,12,2016,-287.96,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1031,"16 DEC 16 Amazon UK Marketplace 800-279-6620 LUX LUX","shopping",2,20,12,2016,-17.13,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1032,"Amazon UK Marketplace 800-279-6620 LUX LUX","shopping",2,20,12,2016,-3.95,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1033,"19 DEC 16 WWW.THELIGHTBULBSHOP.C INTERNET GBR GBR","electronics_and_software",3,21,12,2016,-101.82,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1034,"19 DEC 16 GODADDY COM EUROPE 020 7979 2661 GBR","business_services",3,21,12,2016,-7.99,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1035,"20 DEC 16 THE PRINCESS OF SHORED LONDON EC2A GBR","alcohol_and_bars",4,22,12,2016,-9.8,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1036,"EE N T-MOBILE","transfer",5,23,12,2016,-33.72,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",1
1037,"23 DEC 16 NON-STERLING TRANSACTION FEE","provider_fee",3,28,12,2016,-0.1,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1038,"20 DEC 16 INVOICEHOME.COM INVOIC 7024259032 NV USA","business_services",3,28,12,2016,-4.05,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1039,"22 DEC 16 THE FINANCIAL TIMES LONDON GBR GBR","business_services",3,28,12,2016,-30,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",1
1040,"ANGEL SPRINGS LTD","personal_care",4,29,12,2016,-27.5,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1041,"ANGEL SPRINGS LTD","personal_care",4,29,12,2016,-24,"GBP","normal",339276,"0K9kXatt/z8UOg24eza1Xw==",0
1042,"SLUG AND LETTUCE ARTILL LONDON","cafes_and_restaurants",4,1,12,2016,-9.45,"GBP","normal",349120,"aWdZdOxyAuKBGE1MaG+uRg==",0
1043,"SLUG AND LETTUCE ARTILL LONDON","cafes_and_restaurants",4,1,12,2016,-37.8,"GBP","normal",349120,"aWdZdOxyAuKBGE1MaG+uRg==",0
1044,"SLUG AND LETTUCE ARTILL LONDON","cafes_and_restaurants",4,1,12,2016,-20.15,"GBP","normal",349120,"aWdZdOxyAuKBGE1MaG+uRg==",0
1045,"MAGGIES LONDON","food_and_dining",5,2,12,2016,-29.9,"GBP","normal",349120,"aWdZdOxyAuKBGE1MaG+uRg==",0
1046,"WHOLE FOODS MARKET LONDON","shopping",5,2,12,2016,-22.63,"GBP","normal",349120,"aWdZdOxyAuKBGE1MaG+uRg==",0
1047,"CECCONI'S RESTAURANT LONDON","cafes_and_restaurants",6,3,12,2016,-62.31,"GBP","normal",349120,"aWdZdOxyAuKBGE1MaG+uRg==",0
1048,"CONNAUGHT F&B LTD LONDON","uncategorized",6,3,12,2016,-37.25,"GBP","normal",349120,"aWdZdOxyAuKBGE1MaG+uRg==",0
1049,"INTEREST CHARGE","provider_fee",1,5,12,2016,-13.63,"GBP","normal",349120,"aWdZdOxyAuKBGE1MaG+uRg==",0
1050,"AMAZON UK RETAIL AMAZON.CO.UK","shopping",1,5,12,2016,-16.98,"GBP","normal",349120,"aWdZdOxyAuKBGE1MaG+uRg==",0
1051,"COTE RESTAURANTS ST KAT LONDON","cafes_and_restaurants",1,12,12,2016,-57.32,"GBP","normal",349120,"aWdZdOxyAuKBGE1MaG+uRg==",0
1052,"HOTEL V NESPLEIN B V 20 AMSTERDAM","hotel",1,12,12,2016,-252.93,"GBP","normal",349120,"aWdZdOxyAuKBGE1MaG+uRg==",0
1053,"TFL TRAVEL CHARGE TFL.GOV.UK/CP","public_transportation",3,14,12,2016,-2.4,"GBP","normal",349120,"aWdZdOxyAuKBGE1MaG+uRg==",0
1054,"MARKS & SPENCER-CANARY LONDON","food_and_dining",3,14,12,2016,-13.9,"GBP","normal",349120,"aWdZdOxyAuKBGE1MaG+uRg==",0
1055,"MARKS & SPENCER-CANARY LONDON","food_and_dining",3,14,12,2016,-19.92,"GBP","normal",349120,"aWdZdOxyAuKBGE1MaG+uRg==",0
1056,"ARGOS (KENSINGTON CAT) LONDON","transfer",6,17,12,2016,-230.04,"GBP","normal",349120,"aWdZdOxyAuKBGE1MaG+uRg==",0
